1. Todd Gurley II	RB	LAR	RB1
2. David Johnson	RB	ARI	RB2
3. Ezekiel Elliott	RB	DAL	RB3
4. Saquon Barkley	RB	NYG	RB4
5. Antonio Brown	WR	PIT	WR1
6. Alvin Kamara	RB	NO	RB5
7. Kareem Hunt	RB	KC	RB6
8. Julio Jones	WR	ATL	WR2
9. DeAndre Hopkins	WR	HOU	WR3
10. Odell Beckham Jr.	WR	NYG	WR4
11. Dalvin Cook	RB	MIN	RB7
12. Leonard Fournette	RB	JAC	RB8
13. Keenan Allen	WR	LAC	WR5
14. Melvin Gordon	RB	LAC	RB9
15. Christian McCaffrey	RB	CAR	RB10
16. Michael Thomas	WR	NO	WR6
17. A.J. Green	WR	CIN	WR7
18. Le'Veon Bell	RB	PIT	RB11
19. Devonta Freeman	RB	ATL	RB12
20. Davante Adams	WR	GB	WR8
21. Rob Gronkowski	TE	NE	TE1
22. Mike Evans	WR	TB	WR9
23. LeSean McCoy	RB	BUF	RB13
24. Travis Kelce	TE	KC	TE2
25. Joe Mixon	RB	CIN	RB14
26. Jordan Howard	RB	CHI	RB15
27. Larry Fitzgerald	WR	ARI	WR10
28. T.Y. Hilton	WR	IND	WR11
29. Adam Thielen	WR	MIN	WR12
30. Stefon Diggs	WR	MIN	WR13
31. Kenyan Drake	RB	MIA	RB16
32. Zach Ertz	TE	PHI	TE3
33. Tyreek Hill	WR	KC	WR14
34. Demaryius Thomas	WR	DEN	WR15
35. Doug Baldwin	WR	SEA	WR16
36. Allen Robinson	WR	CHI	WR17
37. Amari Cooper	WR	OAK	WR18
38. Golden Tate	WR	DET	WR19
39. Josh Gordon	WR	CLE	WR20
40. Jarvis Landry	WR	CLE	WR21
41. Marvin Jones Jr.	WR	DET	WR22
42. Royce Freeman	RB	DEN	RB17
43. Brandin Cooks	WR	LAR	WR23
44. Chris Hogan	WR	NE	WR24
45. Derrick Henry	RB	TEN	RB18
46. Alex Collins	RB	BAL	RB19
47. Jay Ajayi	RB	PHI	RB20
48. Marshawn Lynch	RB	OAK	RB21
49. Dion Lewis	RB	TEN	RB22
50. Lamar Miller	RB	HOU	RB23
51. Mark Ingram II	RB	NO	RB24
52. Rex Burkhead	RB	NE	RB25
53. JuJu Smith-Schuster	WR	PIT	WR25
54. Michael Crabtree	WR	BAL	WR26
55. Robert Woods	WR	LAR	WR27
56. Emmanuel Sanders	WR	DEN	WR28
57. Corey Davis	WR	TEN	WR29
58. Aaron Rodgers	QB	GB	QB1
59. Tom Brady	QB	NE	QB2
60. Duke Johnson Jr.	RB	CLE	RB26
61. Tevin Coleman	RB	ATL	RB27
62. Chris Thompson	RB	WAS	RB28
63. Carlos Hyde	RB	CLE	RB29
64. Greg Olsen	TE	CAR	TE4
65. Delanie Walker	TE	TEN	TE5
66. Evan Engram	TE	NYG	TE6
67. Marquise Goodwin	WR	SF	WR30
68. Devin Funchess	WR	CAR	WR31
69. Sammy Watkins	WR	KC	WR32
70. Robby Anderson	WR	NYJ	WR33
71. Pierre Garcon	WR	SF	WR34
72. Alshon Jeffery	WR	PHI	WR35
73. Alfred Morris	RB	SF	RB30
74. Chris Carson	RB	SEA	RB31
75. Jimmy Graham	TE	GB	TE7
76. Will Fuller V	WR	HOU	WR36
77. Jamison Crowder	WR	WAS	WR37
78. Cam Newton	QB	CAR	QB3
79. Russell Wilson	QB	SEA	QB4
80. Deshaun Watson	QB	HOU	QB5
81. Carson Wentz	QB	PHI	QB6
82. Cooper Kupp	WR	LAR	WR38
83. Julian Edelman	WR	NE	WR39
84. Sterling Shepard	WR	NYG	WR40
85. Peyton Barber	RB	TB	RB32
86. Isaiah Crowell	RB	NYJ	RB33
87. Tarik Cohen	RB	CHI	RB34
88. Jamaal Williams	RB	GB	RB35
89. Adrian Peterson	RB	WAS	RB36
90. Jordan Reed	TE	WAS	TE8
91. Andrew Luck	QB	IND	QB7
92. Kelvin Benjamin	WR	BUF	WR41
93. Randall Cobb	WR	GB	WR42
94. Josh Doctson	WR	WAS	WR43
95. Nelson Agholor	WR	PHI	WR44
96. Kerryon Johnson	RB	DET	RB37
97. James Conner	RB	PIT	RB38
98. Rashaad Penny	RB	SEA	RB39
99. Sony Michel	RB	NE	RB40
100. Kyle Rudolph	TE	MIN	TE9
101. Jordy Nelson	WR	OAK	WR45
102. Kenny Stills	WR	MIA	WR46
103. Allen Hurns	WR	DAL	WR47
104. Keelan Cole	WR	JAC	WR48
105. Paul Richardson	WR	WAS	WR49
106. DeVante Parker	WR	MIA	WR50
107. Kenny Golladay	WR	DET	WR51
108. Tyler Lockett	WR	SEA	WR52
109. Mohamed Sanu	WR	ATL	WR53
110. Danny Amendola	WR	MIA	WR54
111. Michael Gallup	WR	DAL	WR55
112. John Ross	WR	CIN	WR56
113. Chris Godwin	WR	TB	WR57
114. DJ Moore	WR	CAR	WR58
115. Rishard Matthews	WR	TEN	WR59
116. Ben Roethlisberger	QB	PIT	QB8
117. Kirk Cousins	QB	MIN	QB9
118. Jack Doyle	TE	IND	TE10
119. Trey Burton	TE	CHI	TE11
120. David Njoku	TE	CLE	TE12
121. James White	RB	NE	RB41
122. Matt Breida	RB	SF	RB42
123. Giovani Bernard	RB	CIN	RB43
124. Theo Riddick	RB	DET	RB44
125. Bilal Powell	RB	NYJ	RB45
126. Matthew Stafford	QB	DET	QB10
127. Drew Brees	QB	NO	QB11
128. Matt Ryan	QB	ATL	QB12
129. Mike Wallace	WR	PHI	WR60
130. DeSean Jackson	WR	TB	WR61
131. Cameron Meredith	WR	NO	WR62
132. James Washington	WR	PIT	WR63
133. Patrick Mahomes	QB	KC	QB13
134. Philip Rivers	QB	LAC	QB14
135. Jimmy Garoppolo	QB	SF	QB15
136. Alex Smith	QB	WAS	QB16
137. John Brown	WR	BAL	WR64
138. Anthony Miller	WR	CHI	WR65
139. Calvin Ridley	WR	ATL	WR66
140. Courtland Sutton	WR	DEN	WR67
141. Donte Moncrief	WR	JAC	WR68
142. Jordan Wilkins	RB	IND	RB46
143. Marlon Mack	RB	IND	RB47
144. Ty Montgomery	RB	GB	RB48
145. Charles Clay	TE	BUF	TE13
146. Tyler Eifert	TE	CIN	TE14
147. Ronald Jones II	RB	TB	RB49
148. Jeremy Hill	RB	NE	RB50
149. Aaron Jones	RB	GB	RB51
150. Tyrod Taylor	QB	CLE	QB17
151. Marcus Mariota	QB	TEN	QB18
152. Dak Prescott	QB	DAL	QB19
153. Jaguars D/ST	DST	JAC	DST1
154. Doug Martin	RB	OAK	RB52
155. Latavius Murray	RB	MIN	RB53
156. Corey Clement	RB	PHI	RB54
157. Javorius Allen	RB	BAL	RB55
158. Mike Williams	WR	LAC	WR69
159. Ryan Grant	WR	IND	WR70
160. Dede Westbrook	WR	JAC	WR71
161. George Kittle	TE	SF	TE15
162. Quincy Enunwa	WR	NYJ	WR72
163. Jared Goff	QB	LAR	QB20
164. Devontae Booker	RB	DEN	RB56
165. C.J. Anderson	RB	CAR	RB57
166. Christian Kirk	WR	ARI	WR73
167. Taywan Taylor	WR	TEN	WR74
168. Benjamin Watson	TE	NO	TE16
169. Antonio Gates	TE	LAC	TE17
170. Eagles D/ST	DST	PHI	DST2
171. Rams D/ST	DST	LAR	DST3
172. Vikings D/ST	DST	MIN	DST4
173. Ravens D/ST	DST	BAL	DST5
174. Texans D/ST	DST	HOU	DST6
175. Greg Zuerlein	K	LAR	K1
176. Stephen Gostkowski	K	NE	K2
177. Justin Tucker	K	BAL	K3
178. Patriots D/ST	DST	NE	DST7
179. Chargers D/ST	DST	LAC	DST8
180. Broncos D/ST	DST	DEN	DST9
181. Saints D/ST	DST	NO	DST10
182. Titans D/ST	DST	TEN	DST11
183. Bears D/ST	DST	CHI	DST12
184. Matt Bryant	K	ATL	K4
185. Wil Lutz	K	NO	K5
186. Chris Boswell	K	PIT	K6
187. Robbie Gould	K	SF	K7
188. Jake Elliott	K	PHI	K8
189. Matt Prater	K	DET	K9
190. Harrison Butker	K	KC	K10
191. Adam Vinatieri	K	IND	K11
192. Graham Gano	K	CAR	K12
193. Nyheim Hines	RB	IND	RB58
194. Darren Sproles	RB	PHI	RB59
195. Austin Ekeler	RB	LAC	RB60
196. Cameron Brate	TE	TB	TE18
197. Austin Seferian-Jenkins	TE	JAC	TE19
198. Vance McDonald	TE	PIT	TE20
199. Nick Chubb	RB	CLE	RB61
200. LeGarrette Blount	RB	DET	RB62
201. Chase Edmonds	RB	ARI	RB63
202. Chris Ivory	RB	BUF	RB64
203. Phillip Lindsay	RB	DEN	RB65
204. T.J. Yeldon	RB	JAC	RB66
205. Mike Gillislee	RB	NO	RB67
206. Kenneth Dixon	RB	BAL	RB68
207. Frank Gore	RB	MIA	RB69
208. Christine Michael	RB	IND	RB70
209. Alfred Blue	RB	HOU	RB71
210. Austin Hooper	TE	ATL	TE21
211. O.J. Howard	TE	TB	TE22
212. Mitchell Trubisky	QB	CHI	QB21
213. Albert Wilson	WR	MIA	WR75
214. Geronimo Allison	WR	GB	WR76
215. Cole Beasley	WR	DAL	WR77
216. Ted Ginn Jr.	WR	NO	WR78
217. Tyler Boyd	WR	CIN	WR79
218. Chad Williams	WR	ARI	WR80
219. Andy Dalton	QB	CIN	QB22
220. Ryan Tannehill	QB	MIA	QB23
221. Panthers D/ST	DST	CAR	DST13
222. Redskins D/ST	DST	WAS	DST14
223. Ryan Succop	K	TEN	K13
224. Daniel Carlson	K	MIN	K14
225. Willie Snead	WR	BAL	WR81
226. Tyrell Williams	WR	LAC	WR82
227. Terrance Williams	WR	DAL	WR83
228. Brandon Marshall	WR	SEA	WR84
229. Travis Benjamin	WR	LAC	WR85
230. Tre'Quan Smith	WR	NO	WR86
231. D.J. Chark	WR	JAC	WR87
232. Phillip Dorsett	WR	NE	WR88
233. Cordarrelle Patterson	WR	NE	WR89
234. Terrelle Pryor Sr.	WR	NYJ	WR90
235. D'Onta Foreman	RB	HOU	RB72
236. Rob Kelley	RB	WAS	RB73
237. Samaje Perine	RB	WAS	RB74
238. Spencer Ware	RB	KC	RB75
239. Elijah McGuire	RB	NYJ	RB76
240. Jonathan Stewart	RB	NYG	RB77
241. Wayne Gallman	RB	NYG	RB78
242. Rod Smith	RB	DAL	RB79
243. Eli Manning	QB	NYG	QB24
244. Derek Carr	QB	OAK	QB25
245. Jameis Winston	QB	TB	QB26
246. Jared Cook	TE	OAK	TE23
247. Eric Ebron	TE	IND	TE24
248. Mike Gesicki	TE	MIA	TE25
249. Ricky Seals-Jones	TE	ARI	TE26
250. Jacquizz Rodgers	RB	TB	RB80
251. Dez Bryant	WR	FA	WR91
252. Antonio Callaway	WR	CLE	WR92
253. Cardinals D/ST	DST	ARI	DST15
254. Falcons D/ST	DST	ATL	DST16
255. Mason Crosby	K	GB	K15
256. Josh Lambo	K	JAC	K16
257. Ryan Griffin	TE	HOU	TE27
258. Hayden Hurst	TE	BAL	TE28
259. Jake Butt	TE	DEN	TE29
260. J'Mon Moore	WR	GB	WR93
261. Marquez Valdes-Scantling	WR	GB	WR94
262. Equanimeous St. Brown	WR	GB	WR95
263. Adam Humphries	WR	TB	WR96
264. Damien Williams	RB	KC	RB81
265. Jaylen Samuels	RB	PIT	RB82
266. Case Keenum	QB	DEN	QB27
267. Blake Bortles	QB	JAC	QB28
268. Joe Flacco	QB	BAL	QB29
269. Sam Darnold	QB	NYJ	QB30
270. Sam Bradford	QB	ARI	QB31
271. Zay Jones	WR	BUF	WR97
272. Mack Hollins	WR	PHI	WR98
273. Jermaine Kearse	WR	NYJ	WR99
274. Jeremy Kerley	WR	BUF	WR100
275. Taylor Gabriel	WR	CHI	WR101
276. Kyle Juszczyk	RB	SF	RB83
277. John Kelly	RB	LAR	RB84
278. Corey Grant	RB	JAC	RB85
279. C.J. Prosise	RB	SEA	RB86
280. Mark Walton	RB	CIN	RB87
281. Jalen Richard	RB	OAK	RB88
282. T.J. Logan	RB	ARI	RB89
283. Kalen Ballage	RB	MIA	RB90
284. Curtis Samuel	WR	CAR	WR102
285. Cowboys D/ST	DST	DAL	DST17
286. Packers D/ST	DST	GB	DST18
287. Dustin Hopkins	K	WAS	K17
288. Chandler Catanzaro	K	TB	K18
289. Blake Jarwin	TE	DAL	TE30
290. Tyler Kroft	TE	CIN	TE31
291. Vernon Davis	TE	WAS	TE32
292. Gerald Everett	TE	LAR	TE33
293. Tyler Higbee	TE	LAR	TE34
294. Trent Taylor	WR	SF	WR103
295. Laquon Treadwell	WR	MIN	WR104
296. Nathan Peterman	QB	BUF	QB32
297. Lions D/ST	DST	DET	DST19
298. Bengals D/ST	DST	CIN	DST20
299. Chiefs D/ST	DST	KC	DST21
300. Seahawks D/ST	DST	SEA	DST22

